branch_name,address,map_link
CO.OPMART CỐNG QUỲNH,"189C  Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1",https://maps.app.goo.gl/seAwusqkxfmjgzRS9
CO.OPMART BÌNH TRIỆU,"68/1 Quốc Lộ 13, Phường Hiệp Bình Chánh, Thành Phố Thủ Đức",https://maps.app.goo.gl/hDkYbGM4UX5K6gD96
CO.OPMART VŨNG TÀU,"36 Nguyễn Thái Học, Phường 7, Tp. Vũng Tàu, Tỉnh Bà Rịa Vũng Tàu",https://maps.app.goo.gl/DR9VtNZCrNw4djch8
CO.OPMART BÀ RỊA,"Số 6, Nguyễn Hữu Thọ, Khu Phố 2, Phường Phước Trung, Tp. Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu",https://maps.app.goo.gl/Tu7Kv5qXy3BVf7TA8
CO.OPMART BIÊN HÒA,"121  Phạm Văn Thuận, Phường Tân Tiến, Biên Hòa, Đồng Nai",https://maps.app.goo.gl/SNuvMhnCh2Zg5GiPA
CO.OPMART BÌNH DƯƠNG,"Đường 30/4, Phường Chánh Nghĩa , Tx. Thủ Dầu Một, Tỉnh Bình Dương",https://maps.app.goo.gl/1nM4AR2yhZGy6SfM9
CO.OPMART BÌNH DƯƠNG 2,"Đường Phú Lợi, Phường Phú Lợi, Tx. Thủ Dầu Một, Tỉnh Bình Dương",https://maps.app.goo.gl/ehnBkpAW77NSzyiZA
CO.OPMART ĐỒNG XOÀI,"Khu TTTM, Đường Phú Riềng Đỏ,  Phường Tân Bình, Tx. Đồng Xoài, Tỉnh Bình Phước",https://maps.app.goo.gl/f9Dd4o2utcj7bvaG7
CO.OPMART CHÂU THÀNH,"Đường 781, Khu Phố 3, Thị Trấn Châu Thành, Huyện Châu Thành, Tây Ninh",https://maps.app.goo.gl/FtiYm6ua1oxaoJus6
CO.OPMART ĐỒNG PHÚ,"Đường CMT8 - Đt.741, Khu Phô Tân An, Thị Trấn Tân Phú, Huyện Đồng Phú, Tỉnh Bình Phước",https://maps.app.goo.gl/CM4WDDfm7WFadA776
Liên hiệp Hợp tác xã Thương Mại TP.HCM,"199 - 205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, TPHCM",https://maps.app.goo.gl/DBBh7FjMxCVwsJLNA
CO.OPMART DƯƠNG MINH CHÂU,"Khu Phố 1, Thị Trấn Dương Minh Châu, Huyện Dương Minh Châu, Tỉnh Tây Ninh",https://maps.app.goo.gl/HtnutnHLA7CYwaX3A
CO.OPMART GÒ DẦU,"Quốc Lộ 22B, Khu Phố Rạch Sơn, Thị Trấn Gò Dầu, Huyện Gò Dầu, Tỉnh Tây Ninh",https://maps.app.goo.gl/2iscnCMJxLaFqR326
CO.OPMART LAGI,"Đường Thống Nhất, Khu Phố 4, Phường Tân Thiện, Tx. La Gi, Tỉnh Bình Thuận",https://maps.app.goo.gl/5oSx25G49BddePdh6
CO.OPMART PHAN RÍ CỬA,"Khu Phố Minh Tân, Thị Trấn Phan Rí Cửa, Huyện Tuy Phong, Tỉnh Bình Thuận",https://maps.app.goo.gl/vLhaGDtVnEo9RmxZ6
CO.OPMART PHAN THIẾT,"1A Nguyễn Tất Thành, Phường Bình Hưng, Tp.Phan Thiết, Tỉnh Bình Thuận",https://maps.app.goo.gl/mbVbpkq2XNdPZFN18
CO.OPMART PHƯỚC ĐÔNG,"KCN Phước Đông, Xã Phước Đông, Huyện Gò Dầu, Tỉnh Tây Ninh",https://maps.app.goo.gl/CBdmDJPXfUPJHFq47
CO.OPMART  SCA TÂY NINH,"217-219 Đường 30/4, Phường 2, Thành Phố Tây Ninh, Tỉnh Tây Ninh",https://maps.app.goo.gl/NwB2iNCx9DP134dK9
CO.OPMART TÂN BIÊN,"Khu Phố 3, Nguyễn Văn Linh, TT Tân Biên, Tây Ninh",https://maps.app.goo.gl/13Y2gsHiQxaimsP59
CO.OPMART TÂN CHÂU,"Lê Duẩn, Kp 2, Thị Trấn Tân Châu, Huyện Tân Châu, Tây Ninh",https://maps.app.goo.gl/ffZDagX3USeqhr6v6
CO.OPMART TÂN THÀNH,"Quốc Lộ 51, Tổ 12 Khu Phố Tân Phú, Phường Phú Mỹ, Thị Xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu",https://maps.app.goo.gl/NX6fVw6boE6xSfL57
CO.OPMART TÂY NINH,"576  Cách Mạng  Tháng 8, Phường 3, Tx. Tây Ninh, Tỉnh Tây Ninh",https://maps.app.goo.gl/GNorMKbAPYYnzEPe6
CO.OP MART TRẢNG BÀNG,"Khu Phố Lộc An,Phường Trảng Bàng,Thị Xã Trảng Bàng, Tỉnh Tây Ninh",https://maps.app.goo.gl/ZDRHCLR4JLjhv5LX7
CO.OPMART CẦN GIỜ,"128 Đào Cử, Khu Phố Phong Thạnh, Thị Trấn Cần Giờ, Huyện Cần Giờ",https://maps.app.goo.gl/LMb7hNdtRXotpCUZ8
CO.OPMART CHU VĂN AN,"241A Chu Văn An, Phường 12, Quận Bình Thạnh",https://maps.app.goo.gl/9z4tAoCbiqu7HFhQ9
CO.OPMART HẬU GIANG,"188 Hậu Giang, Phường 6, Quận 6",https://maps.app.goo.gl/7mzjPwwdem7H7PvL8
CO.OPMART HOÀ BÌNH,"175 Hòa Bình, Phường Hiệp Tân, Quận Tân Phú",https://maps.app.goo.gl/Gh9oL8AG1gHVrFWj6
CO.OPMART HÙNG VƯƠNG,"96 Hùng Vương, Phường 9, Quận 5",https://maps.app.goo.gl/JSTQWB54MFPdUJXd7
CO.OPMART HUỲNH TẤN PHÁT,"1362 Đường Huỳnh Tấn Phát, Khu Phố 1, Phường Phú Mỹ, Quận 7",https://maps.app.goo.gl/31BfkvjrUwEnTix68
CO.OPMART NGUYỄN BÌNH,"18 Nguyễn Bình, Phường Phú Xuân, Huyện Nhà Bè",https://maps.app.goo.gl/75CSvwskZZD9sVpt5
CO.OPMART PHÚ LÂM,"06 Bà Hom, Quận 6",https://maps.app.goo.gl/kZ3X2Aaa3YjcTG8m6
CO.OPMART PHÚ THỌ,"Lô1 - Lô2 , Khu A Chung Cư Phú Thọ, Phường 15, Quận 11",https://maps.app.goo.gl/fgiLryeSLrMpvuRd6
CO.OPMART SCA CAO THẮNG,"181 Cao Thắng Phường 12 , Quận 10",https://maps.app.goo.gl/G2xPACiFeV6reY1XA
