comment,stars
nhiều hàng hoá để lựa chọn thường xuyên có chương trình khuyến mãi nhân viên vui vẻ nhiệt tình,5
dịch vụ tốt,5
hôm nay ngày lúc tầm giờ giờ tôi tính tiền ở quầy thu ngân tầng trệt tên là bích tôi gặp trường hợp như sau chị nhân viên thái độ với khách với tôi ra mặt luôn không hiểu chị gặp vấn đề gì nữa chắc tới tháng vợ tôi là khách hàng thẻ bạch kim không nhiều cũng không ít trong lúc tính tiền không hiểu lỗ tai chị có bị tật hay chưa ngoáy hỏi cùng câu hỏi tới tận lần mà đến câu hỏi lúc tính tiền thì chị đó quăng những món hàng chúng tôi với thái độ rất khó chịu nghe tiếng luôn mà nói chung thái độ nhân viên thấp kém vô văn hoá không hiểu sao chúng tôi đã mua hàng và rồi bị thêm những cảm xúc tiêu cực như vậy vì lần đầu tôi sẽ không đưa hình ảnh chị lên mong chị đọc được thì ráng mà cải thiện giúp,1
nhân viên tính tiền thái độ khó chịu ra mặt,1
thật tuyệt,5
không gian mua sắm thoải mái khách vắng đi nhiều so với trước khi gigamall mở cửa,4
hôm qua em có đến đây mua ít đồ bạn em bảo xinh nên muốn chụp vài tấm hình cho em sau đó em lại quầy cân hoa qủa chị nhân viên rất thái độ với em bạn em mới bảo nãy chụp hình c ấy nhìn nhìn kiểu liếc liếc em thắc mắc siêu thị cấm chụp hình ạ mà em chụp em cũng mua đòồ mà mắc gì thái độ với em cân cũng không nói đưa thì liếc bỉu môi omg tụt mood kinh khủng tiếp theo là em mua lốc sữa fami thấy giá để có khuyến mãi nhưng tính tiền không có em tính trên lầu xuống trệt hỏi em lại hỏi nhân viên thì anh đó bảo sai rồi kiu anh khác đi lấy cái gì đó ay làm gì đó em không biết bắt em đợi cỡ không nói câu nào em tính về rồi thì anh kia ra gửi lại tiền cho em kêu em ký tên gì đó rồi em tính tiền lại đi về hoàn toàn không nhận được lời xin lỗi nào đề nghị đào tạo lại tất cả nhân viên ở đây khâu chăm sóc khách hàng nhé thất vọng,1
không sao đâu,5
máy in phiếu tích điểm hư mình tới thanh toán và hỏi mình không phiếu cần đọc được sdt không thì chị không trả lời mình xếp hàng lên nhắc lần nữa thì thái độ chị khó chịu nói chị cứ xếp hàng lên tính tiền rồi được sdt được mà lúc nãy em nghe chị nói rồi mà ủa tui mua đồ chứ có đi xin đâu nếu chị nghe thì chị nói luôn lúc đó lần này im im không nói tiếng gì mình nhắc lần nữa thì chị có thái độ nếu đông chị nóng tui chịu mà vắng chị còn khó chịu với khách vậy mong coop nên xem lại thái độ nhân viên của chị quầy số chứ mình bỏ qua quầy khác tính tiền vừa vào là chị đã hỏi sdt và nói chuyện rất dễ thương,1
đồ cũng đủ cho mọi người lựa chọn chỉ không nhiều bằng các siêu thị mới khác,5
chuyên nghiệp chỗ để xe thoải mái,5
được rồi,3
hợp tác xã ở phường một toà nhà đơn lập đó là một siêu thị hợp lý,4
nhiều lựa chọn mặt hàng vải lanh quần áo hàng tạp hoá với giá rất hợp lý rẻ hơn ở nếu bạn muốn mang về trà cà phê và các món ăn công nghiệp khác hãy đến đây không có hoặc ít đồ thủ công,5
đây có phải là siêu thị co op mart lớn nhất ở hồ chí minh không nó rất thuận tiện và tốt đẹp vì tôi không phải kiểm tra hành lý,5
tv,5
có nhiều loại giá cả hợp lý nhưng điều quan trọng nhất là không có đồ uống lạnh hoặc bia tôi vào mua bia lạnh và rất ngạc nhiên không có đồ uống trong tủ lạnh vào ngày nóng này,3
hàng hoá phong phú cơ sở vật chất thì quá chật hẹp nhân viên thì trung bình trong phục vụ,3
nhân viên thu ngân ở coopmart cong quynh có lẽ là người tệ nhất mà tôi gặp phải trong chuyến đi này hoá đơn của tôi hơn không tôi vui lòng yêu cầu giao hàng nhưng cô ấy trả lời một cách thô lỗ không thể tin được biết siêu thị này vẫn là công ty nhà nước nhưng không thể tin được họ vẫn tuyển những người như thế này,1
rau củ khá đa dạng thịt cá cũng tươi lầu trên có khu ngồi ăn rất là thân thiện với dân lao động và văn phòng bãi gửi xe có nhận thanh toán chuyển khoản luôn cơ,5
nhân viên tính tiền không linh hoạt chủ nhật không đủ nhân viên thu ngân khi khách hàng xếp hàng nhiều vẫn yêu cầu phải có thể bạch kim không muốn lại đây mua hàng,1
thái độ dịch vụ ở đây rất tệ từ giữ xe đến bảo vệ đến thu ngân và nhân viên cân ký duy chỉ có anh bảo vệ tầm tuổi còn nở được chút nụ cười nhân viên ở đây rất trịch thượng toàn mấy anh chị cũng tuổi mà rất kém chuyên nghiệp mình đã rất nice khi hỏi hỗ trợ nhân viên đáp lời thì cộc lốc giọng mẹ hằn học quá tệ,1
